,Clinic - Ambulatory Surgical Center January 2020,,,,,,,
29893,Scope plantar fasciotomy,  ,                                        ,ASC,1255.56,10/1/08,12/31/99, 
29894,Ankle arthroscopy/surgery,  ,                                        ,ASC,510,10/1/08,12/31/99, 
29895,Ankle arthroscopy/surgery,  ,                                        ,ASC,510,10/1/08,12/31/99, 
29897,Ankle arthroscopy/surgery,  ,                                        ,ASC,510,10/1/08,12/31/99, 
29898,Ankle arthroscopy/surgery,  ,                                        ,ASC,510,10/1/08,12/31/99, 
29899,Ankle arthroscopy/surgery,  ,                                        ,ASC,510,10/1/08,12/31/99, 
29900,Mcp joint arthroscopy dx,  ,                                        ,ASC,510,10/1/08,12/31/99, 
29901,Mcp joint arthroscopy surg,  ,                                        ,ASC,510,10/1/08,12/31/99, 
29902,Mcp joint arthroscopy surg,  ,                                        ,ASC,510,10/1/08,12/31/99, 
30115,Removal of nose polyp(s),  ,                                        ,ASC,446,10/1/08,12/31/99, 
30117,Removal of intranasal lesion,  ,                                        ,ASC,510,10/1/08,12/31/99, 
30118,Removal of intranasal lesion,  ,                                        ,ASC,510,10/1/08,12/31/99, 
30120,Revision of nose,  ,                                        ,ASC,333,10/1/08,12/31/99, 
30125,Removal of nose lesion,  ,                                        ,ASC,446,10/1/08,12/31/99, 
30130,Excise inferior turbinate,  ,                                        ,ASC,510,10/1/08,12/31/99, 
30140,Resect inferior turbinate,  ,                                        ,ASC,446,10/1/08,12/31/99, 
30150,Partial removal of nose,  ,                                        ,ASC,510,10/1/08,12/31/99, 
30160,Removal of nose,  ,                                        ,ASC,630,10/1/08,12/31/99, 
30220,Insert nasal septal button,  ,                                        ,ASC,464.15,10/1/08,12/31/99, 
30310,Remove nasal foreign body,  ,                                        ,ASC,333,10/1/08,12/31/99, 
30320,Remove nasal foreign body,  ,                                        ,ASC,446,10/1/08,12/31/99, 
30400,Reconstruction of nose,  ,                                        ,ASC,630,10/1/08,12/31/99, 
30410,Reconstruction of nose,  ,                                        ,ASC,717,10/1/08,12/31/99, 
30420,Reconstruction of nose,  ,                                        ,ASC,717,10/1/08,12/31/99, 
30430,Revision of nose,  ,                                        ,ASC,510,10/1/08,12/31/99, 
30435,Revision of nose,  ,                                        ,ASC,717,10/1/08,12/31/99, 
30450,Revision of nose,  ,                                        ,ASC,995,10/1/08,12/31/99, 
30460,Revision of nose,  ,                                        ,ASC,995,10/1/08,12/31/99, 
30462,Revision of nose,  ,                                        ,ASC,1339,10/1/08,12/31/99, 
30465,Repair nasal stenosis,  ,                                        ,ASC,1339,10/1/08,12/31/99, 
30520,Repair of nasal septum,  ,                                        ,ASC,630,10/1/08,12/31/99, 
30540,Repair nasal defect,  ,                                        ,ASC,717,10/1/08,12/31/99, 
30545,Repair nasal defect,  ,                                        ,ASC,717,10/1/08,12/31/99, 
30560,Release of nasal adhesions,  ,                                        ,ASC,150.72,10/1/08,12/31/99, 
30580,Repair upper jaw fistula,  ,                                        ,ASC,630,10/1/08,12/31/99, 
30600,Repair mouth/nose fistula,  ,                                        ,ASC,630,10/1/08,12/31/99, 
30620,Intranasal reconstruction,  ,                                        ,ASC,995,10/1/08,12/31/99, 
30630,Repair nasal septum defect,  ,                                        ,ASC,995,10/1/08,12/31/99, 
30801,Ablate inf turbinate superf,  ,                                        ,ASC,333,10/1/08,12/31/99, 
30802,Ablate inf turbinate submuc,  ,                                        ,ASC,333,10/1/08,12/31/99, 
30903,Control of nosebleed,  ,                                        ,ASC,72.48,10/1/08,12/31/99, 
30905,Control of nosebleed,  ,                                        ,ASC,72.48,10/1/08,12/31/99, 
30906,Repeat control of nosebleed,  ,                                        ,ASC,72.48,10/1/08,12/31/99, 
30915,Ligation nasal sinus artery,  ,                                        ,ASC,446,10/1/08,12/31/99, 
30920,Ligation upper jaw artery,  ,                                        ,ASC,510,10/1/08,12/31/99, 
30930,Ther fx nasal inf turbinate,  ,                                        ,ASC,630,10/1/08,12/31/99, 
31020,Exploration maxillary sinus,  ,                                        ,ASC,446,10/1/08,12/31/99, 
31030,Exploration maxillary sinus,  ,                                        ,ASC,510,10/1/08,12/31/99, 
31032,Explore sinus remove polyps,  ,                                        ,ASC,630,10/1/08,12/31/99, 
31050,Exploration sphenoid sinus,  ,                                        ,ASC,446,10/1/08,12/31/99, 
31051,Sphenoid sinus surgery,  ,                                        ,ASC,630,10/1/08,12/31/99, 
31070,Exploration of frontal sinus,  ,                                        ,ASC,446,10/1/08,12/31/99, 
31075,Exploration of frontal sinus,  ,                                        ,ASC,630,10/1/08,12/31/99, 
31080,Removal of frontal sinus,  ,                                        ,ASC,630,10/1/08,12/31/99, 
31081,Removal of frontal sinus,  ,                                        ,ASC,630,10/1/08,12/31/99, 
31084,Removal of frontal sinus,  ,                                        ,ASC,630,10/1/08,12/31/99, 
31085,Removal of frontal sinus,  ,                                        ,ASC,630,10/1/08,12/31/99, 
31086,Removal of frontal sinus,  ,                                        ,ASC,630,10/1/08,12/31/99, 
31087,Removal of frontal sinus,  ,                                        ,ASC,630,10/1/08,12/31/99, 
31090,Exploration of sinuses,  ,                                        ,ASC,717,10/1/08,12/31/99, 
31200,Removal of ethmoid sinus,  ,                                        ,ASC,446,10/1/08,12/31/99, 
31201,Removal of ethmoid sinus,  ,                                        ,ASC,717,10/1/08,12/31/99, 
31205,Removal of ethmoid sinus,  ,                                        ,ASC,510,10/1/08,12/31/99, 
31233,Nsl/sins ndsc dx max sinusc,  ,                                        ,ASC,86.39,10/1/08,12/31/99, 
31235,Nsl/sins ndsc dx sphn sinusc,  ,                                        ,ASC,333,10/1/08,12/31/99, 
31237,Nasal/sinus endoscopy surg,  ,                                        ,ASC,446,10/1/08,12/31/99, 
31238,Nasal/sinus endoscopy surg,  ,                                        ,ASC,333,10/1/08,12/31/99, 
31239,Nasal/sinus endoscopy surg,  ,                                        ,ASC,630,10/1/08,12/31/99, 
31240,Nasal/sinus endoscopy surg,  ,                                        ,ASC,446,10/1/08,12/31/99, 
31241,Nsl/sins ndsc w/artery lig,  ,                                        ,ASC,466,1/1/18,12/31/99, 
31253,Nsl/sins ndsc total,  ,                                        ,ASC,510,1/1/18,12/31/99, 
31254,Nsl/sins ndsc w/prtl ethmdct,  ,                                        ,ASC,510,10/1/08,12/31/99, 
31255,Nsl/sins ndsc w/tot ethmdct,  ,                                        ,ASC,717,10/1/08,12/31/99, 
31256,Exploration maxillary sinus,  ,                                        ,ASC,510,10/1/08,12/31/99, 
31257,Nsl/sins ndsc tot w/sphendt,  ,                                        ,ASC,510,1/1/18,12/31/99, 
31259,Nsl/sins ndsc sphn tiss rmvl,  ,                                        ,ASC,510,1/1/18,12/31/99, 
31267,Endoscopy maxillary sinus,  ,                                        ,ASC,510,10/1/08,12/31/99, 
31276,Nsl/sins ndsc frnt tiss rmvl,  ,                                        ,ASC,510,10/1/08,12/31/99, 
31287,Nasal/sinus endoscopy surg,  ,                                        ,ASC,510,10/1/08,12/31/99, 
31288,Nasal/sinus endoscopy surg,  ,                                        ,ASC,510,10/1/08,12/31/99, 
31298,Nsl/sins ndsc surg frnt&sphn,  ,                                        ,ASC,510,1/1/18,12/31/99, 
31300,Removal of larynx lesion,  ,                                        ,ASC,717,10/1/08,12/31/99, 
31400,Revision of larynx,  ,                                        ,ASC,446,10/1/08,12/31/99, 
31420,Removal of epiglottis,  ,                                        ,ASC,446,10/1/08,12/31/99, 
31510,Laryngoscopy with biopsy,  ,                                        ,ASC,446,10/1/08,12/31/99, 
31511,Remove foreign body larynx,  ,                                        ,ASC,86.39,10/1/08,12/31/99, 
31512,Removal of larynx lesion,  ,                                        ,ASC,446,10/1/08,12/31/99, 
31513,Injection into vocal cord,  ,                                        ,ASC,86.39,10/1/08,12/31/99, 
31515,Laryngoscopy for aspiration,  ,                                        ,ASC,333,10/1/08,12/31/99, 
31525,Dx laryngoscopy excl nb,  ,                                        ,ASC,333,10/1/08,12/31/99, 
31526,Dx laryngoscopy w/oper scope,  ,                                        ,ASC,446,10/1/08,12/31/99, 
31527,Laryngoscopy for treatment,  ,                                        ,ASC,333,10/1/08,12/31/99, 
31528,Laryngoscopy and dilation,  ,                                        ,ASC,446,10/1/08,12/31/99, 
31529,Laryngoscopy and dilation,  ,                                        ,ASC,446,10/1/08,12/31/99, 
31530,Laryngoscopy w/fb removal,  ,                                        ,ASC,446,10/1/08,12/31/99, 
31531,Laryngoscopy w/fb & op scope,  ,                                        ,ASC,510,10/1/08,12/31/99, 
31535,Laryngoscopy w/biopsy,  ,                                        ,ASC,446,10/1/08,12/31/99, 
31536,Laryngoscopy w/bx & op scope,  ,                                        ,ASC,510,10/1/08,12/31/99, 
31540,Laryngoscopy w/exc of tumor,  ,                                        ,ASC,510,10/1/08,12/31/99, 
31541,Larynscop w/tumr exc + scope,  ,                                        ,ASC,630,10/1/08,12/31/99, 
31545,Remove vc lesion w/scope,  ,                                        ,ASC,630,10/1/08,12/31/99, 
31546,Remove vc lesion scope/graft,  ,                                        ,ASC,630,10/1/08,12/31/99, 
31551,Laryngoplasty laryngeal sten,  ,                                        ,ASC,2156.27,1/1/17,12/31/99, 
31552,Laryngoplasty laryngeal sten,  ,                                        ,ASC,2156.27,1/1/17,12/31/99, 
31553,Laryngoplasty laryngeal sten,  ,                                        ,ASC,2156.27,1/1/17,12/31/99, 
31554,Laryngoplasty laryngeal sten,  ,                                        ,ASC,2156.27,1/1/17,12/31/99, 
31560,Laryngoscop w/arytenoidectom,  ,                                        ,ASC,717,10/1/08,12/31/99, 
31561,Larynscop remve cart + scop,  ,                                        ,ASC,717,10/1/08,12/31/99, 
31570,Laryngoscope w/vc inj,  ,                                        ,ASC,446,10/1/08,12/31/99, 
31571,Laryngoscop w/vc inj + scope,  ,                                        ,ASC,446,10/1/08,12/31/99, 
31572,Largsc w/laser dstrj les,  ,                                        ,ASC,1594.2,1/1/17,12/31/99, 
31573,Largsc w/ther injection,  ,                                        ,ASC,811.87,1/1/17,12/31/99, 
31574,Largsc w/njx augmentation,  ,                                        ,ASC,811.87,1/1/17,12/31/99, 
31576,Laryngoscopy with biopsy,  ,                                        ,ASC,446,10/1/08,12/31/99, 
31577,Largsc w/rmvl foreign bdy(s),  ,                                        ,ASC,236.42,10/1/08,12/31/99, 
31578,Largsc w/removal lesion,  ,                                        ,ASC,446,10/1/08,12/31/99, 
31580,Laryngoplasty laryngeal web,  ,                                        ,ASC,717,10/1/08,12/31/99, 
31590,Reinnervate larynx,  ,                                        ,ASC,717,10/1/08,12/31/99, 
31591,Laryngoplasty medialization,  ,                                        ,ASC,2156.27,1/1/17,12/31/99, 
31595,Larynx nerve surgery,  ,                                        ,ASC,446,10/1/08,12/31/18, 
31603,Incision of windpipe,  ,                                        ,ASC,333,10/1/08,12/31/99, 
31611,Surgery/speech prosthesis,  ,                                        ,ASC,510,10/1/08,12/31/99, 
31612,Puncture/clear windpipe,  ,                                        ,ASC,333,10/1/08,12/31/99, 
31613,Repair windpipe opening,  ,                                        ,ASC,446,10/1/08,12/31/99, 
31614,Repair windpipe opening,  ,                                        ,ASC,446,10/1/08,12/31/99, 
31615,Visualization of windpipe,  ,                                        ,ASC,333,10/1/08,12/31/99, 
31622,Dx bronchoscope/wash,  ,                                        ,ASC,333,10/1/08,12/31/99, 
31623,Dx bronchoscope/brush,  ,                                        ,ASC,446,10/1/08,12/31/99, 
31624,Dx bronchoscope/lavage,  ,                                        ,ASC,446,10/1/08,12/31/99, 
31625,Bronchoscopy w/biopsy(s),  ,                                        ,ASC,446,10/1/08,12/31/99, 
31628,Bronchoscopy/lung bx each,  ,                                        ,ASC,446,10/1/08,12/31/99, 
31629,Bronchoscopy/needle bx each,  ,                                        ,ASC,446,10/1/08,12/31/99, 
31630,Bronchoscopy dilate/fx repr,  ,                                        ,ASC,446,10/1/08,12/31/99, 
31631,Bronchoscopy dilate w/stent,  ,                                        ,ASC,446,10/1/08,12/31/99, 
31635,Bronchoscopy w/fb removal,  ,                                        ,ASC,446,10/1/08,12/31/99, 
31636,Bronchoscopy bronch stents,  ,                                        ,ASC,446,10/1/08,12/31/99, 
31637,Bronchoscopy stent add-on,  ,                                        ,ASC,333,10/1/08,12/31/99, 
31638,Bronchoscopy revise stent,  ,                                        ,ASC,446,10/1/08,12/31/99, 
31640,Bronchoscopy w/tumor excise,  ,                                        ,ASC,446,10/1/08,12/31/99, 
31641,Bronchoscopy treat blockage,  ,                                        ,ASC,446,10/1/08,12/31/99, 
31643,Diag bronchoscope/catheter,  ,                                        ,ASC,446,10/1/08,12/31/99, 
31645,Brnchsc w/ther aspir 1st,  ,                                        ,ASC,333,10/1/08,12/31/99, 
31646,Brnchsc w/ther aspir sbsq,  ,                                        ,ASC,333,10/1/08,12/31/99, 
31652,Bronch ebus samplng 1/2 node,  ,                                        ,ASC,446,1/1/16,12/31/99, 
31653,Bronch ebus samplng 3/> node,  ,                                        ,ASC,446,1/1/16,12/31/99, 
31654,Bronch ebus ivntj perph les,  ,                                        ,ASC,446,1/1/16,12/31/99, 
31717,Bronchial brush biopsy,  ,                                        ,ASC,236.42,10/1/08,12/31/99, 
31720,Clearance of airways,  ,                                        ,ASC,47.32,10/1/08,12/31/99, 
31730,Intro windpipe wire/tube,  ,                                        ,ASC,236.42,10/1/08,12/31/99, 
31750,Repair of windpipe,  ,                                        ,ASC,717,10/1/08,12/31/99, 
31755,Repair of windpipe,  ,                                        ,ASC,446,10/1/08,12/31/99, 
31820,Closure of windpipe lesion,  ,                                        ,ASC,333,10/1/08,12/31/99, 
31825,Repair of windpipe defect,  ,                                        ,ASC,446,10/1/08,12/31/99, 
31830,Revise windpipe scar,  ,                                        ,ASC,446,10/1/08,12/31/99, 
32400,Needle biopsy chest lining,  ,                                        ,ASC,333,10/1/08,12/31/99, 
32405,Percut bx lung/mediastinum,  ,                                        ,ASC,333,10/1/08,12/31/99, 
32554,Aspirate pleura w/o imaging,  ,                                        ,ASC,233.79,1/1/13,12/31/99, 
32555,Aspirate pleura w/ imaging,  ,                                        ,ASC,272.12,1/1/13,12/31/99, 
33010,Drainage of heart sac,  ,                                        ,ASC,222.78,10/1/08,12/31/19, 
33011,Repeat drainage of heart sac,  ,                                        ,ASC,222.78,10/1/08,12/31/19, 
33016,Pericardiocentesis w/imaging,  ,                                        ,ASC,222.78,1/1/20,12/31/99, 
33017,Prcrd drg 6yr+ w/o cgen car,  ,                                        ,ASC,222.78,1/1/20,12/31/99, 
33018,Prcrd drg 0-5yr or w/anomly,  ,                                        ,ASC,222.78,1/1/20,12/31/99, 
33019,Perq prcrd drg insj cath ct,  ,                                        ,ASC,222.78,1/1/20,12/31/99, 
33212,Insert pulse gen sngl lead,  ,                                        ,ASC,510,10/1/08,12/31/99, 
33213,Insert pulse gen dual leads,  ,                                        ,ASC,510,10/1/08,12/31/99, 
33222,Relocation pocket pacemaker,  ,                                        ,ASC,446,10/1/08,12/31/99, 
33223,Relocate pocket for defib,  ,                                        ,ASC,446,10/1/08,12/31/99, 
33233,Removal of pm generator,  ,                                        ,ASC,446,10/1/08,12/31/99, 
35188,Repair blood vessel lesion,  ,                                        ,ASC,630,10/1/08,12/31/99, 
35207,Repair blood vessel lesion,  ,                                        ,ASC,630,10/1/08,12/31/99, 
35875,Removal of clot in graft,  ,                                        ,ASC,1339,10/1/08,12/31/99, 
35876,Removal of clot in graft,  ,                                        ,ASC,1339,10/1/08,12/31/99, 
36260,Insertion of infusion pump,  ,                                        ,ASC,510,10/1/08,12/31/99, 
36261,Revision of infusion pump,  ,                                        ,ASC,446,10/1/08,12/31/99, 
36262,Removal of infusion pump,  ,                                        ,ASC,333,10/1/08,12/31/99, 
36465,Njx noncmpnd sclrsnt 1 vein,  ,                                        ,ASC,       MP,1/1/18,12/31/99, 
36466,Njx noncmpnd sclrsnt mlt vn,  ,                                        ,ASC,       MP,1/1/18,12/31/99, 
36473,Endovenous mchnchem 1st vein,  ,                                        ,ASC,1349.42,1/1/17,12/31/99, 
36475,Endovenous rf 1st vein,  ,                                        ,ASC,1339,10/1/08,12/31/99, 
36476,Endovenous rf vein add-on,  ,                                        ,ASC,1339,10/1/08,12/31/99, 
36478,Endovenous laser 1st vein,  ,                                        ,ASC,1339,10/1/08,12/31/99, 
36479,Endovenous laser vein addon,  ,                                        ,ASC,1339,10/1/08,12/31/99, 
36482,Endoven ther chem adhes 1st,  ,                                        ,ASC,1339,1/1/18,12/31/99, 
36555,Insert non-tunnel cv cath,  ,                                        ,ASC,333,10/1/08,12/31/99, 
36556,Insert non-tunnel cv cath,  ,                                        ,ASC,333,10/1/08,12/31/99, 
36557,Insert tunneled cv cath,  ,                                        ,ASC,446,10/1/08,12/31/99, 
36558,Insert tunneled cv cath,  ,                                        ,ASC,446,10/1/08,12/31/99, 
36560,Insert tunneled cv cath,  ,                                        ,ASC,510,10/1/08,12/31/99, 
36561,Insert tunneled cv cath,  ,                                        ,ASC,510,10/1/08,12/31/99, 
36563,Insert tunneled cv cath,  ,                                        ,ASC,510,10/1/08,12/31/99, 
36565,Insert tunneled cv cath,  ,                                        ,ASC,510,10/1/08,12/31/99, 
36566,Insert tunneled cv cath,  ,                                        ,ASC,510,10/1/08,12/31/99, 
36568,Insert picc cath,  ,                                        ,ASC,333,10/1/08,12/31/99, 
36569,Insert picc cath,  ,                                        ,ASC,333,10/1/08,12/31/99, 
36570,Insert picvad cath,  ,                                        ,ASC,510,10/1/08,12/31/99, 
36571,Insert picvad cath,  ,                                        ,ASC,510,10/1/08,12/31/99, 
36572,Insj picc rs&i <5 yr,  ,                                        ,ASC,510,1/1/19,12/31/99, 
36573,Insj picc rs&i 5 yr+,  ,                                        ,ASC,510,1/1/19,12/31/99, 
36575,Repair tunneled cv cath,  ,                                        ,ASC,446,10/1/08,12/31/99, 
36576,Repair tunneled cv cath,  ,                                        ,ASC,446,10/1/08,12/31/99, 
36578,Replace tunneled cv cath,  ,                                        ,ASC,446,10/1/08,12/31/99, 
36580,Replace cvad cath,  ,                                        ,ASC,333,10/1/08,12/31/99, 
36581,Replace tunneled cv cath,  ,                                        ,ASC,446,10/1/08,12/31/99, 
36582,Replace tunneled cv cath,  ,                                        ,ASC,510,10/1/08,12/31/99, 
36583,Replace tunneled cv cath,  ,                                        ,ASC,510,10/1/08,12/31/99, 
36584,Compl rplcmt picc rs&i,  ,                                        ,ASC,333,10/1/08,12/31/99, 
36585,Replace picvad cath,  ,                                        ,ASC,510,10/1/08,12/31/99, 
36589,Removal tunneled cv cath,  ,                                        ,ASC,333,10/1/08,12/31/99, 
36590,Removal tunneled cv cath,  ,                                        ,ASC,333,10/1/08,12/31/99, 
36640,Insertion catheter artery,  ,                                        ,ASC,333,10/1/08,12/31/99, 
36800,Insertion of cannula,  ,                                        ,ASC,510,10/1/08,12/31/99, 
36810,Insertion of cannula,  ,                                        ,ASC,510,10/1/08,12/31/99, 
36815,Insertion of cannula,  ,                                        ,ASC,510,10/1/08,12/31/99, 
36818,Av fuse uppr arm cephalic,  ,                                        ,ASC,510,10/1/08,12/31/99, 
36819,Av fuse uppr arm basilic,  ,                                        ,ASC,510,10/1/08,12/31/99, 
36820,Av fusion/forearm vein,  ,                                        ,ASC,510,10/1/08,12/31/99, 
36821,Av fusion direct any site,  ,                                        ,ASC,510,10/1/08,12/31/99, 
36825,Artery-vein autograft,  ,                                        ,ASC,630,10/1/08,12/31/99, 
36830,Artery-vein nonautograft,  ,                                        ,ASC,630,10/1/08,12/31/99, 
36831,Open thrombect av fistula,  ,                                        ,ASC,1339,10/1/08,12/31/99, 
36832,Av fistula revision open,  ,                                        ,ASC,630,10/1/08,12/31/99, 
36833,Av fistula revision,  ,                                        ,ASC,630,10/1/08,12/31/99, 
36835,Artery to vein shunt,  ,                                        ,ASC,630,10/1/08,12/31/99, 
36860,External cannula declotting,  ,                                        ,ASC,127.4,10/1/08,12/31/99, 
36861,Cannula declotting,  ,                                        ,ASC,510,10/1/08,12/31/99, 
36901,Intro cath dialysis circuit,  ,                                        ,ASC,391.08,1/1/17,12/31/99, 
36902,Intro cath dialysis circuit,  ,                                        ,ASC,3154.18,1/1/17,12/31/99, 
36903,Intro cath dialysis circuit,  ,                                        ,ASC,5976.7,1/1/17,12/31/99, 
36904,Thrmbc/nfs dialysis circuit,  ,                                        ,ASC,3154.18,1/1/17,12/31/99, 
36905,Thrmbc/nfs dialysis circuit,  ,                                        ,ASC,5976.7,1/1/17,12/31/99, 
36906,Thrmbc/nfs dialysis circuit,  ,                                        ,ASC,9356.94,1/1/17,12/31/99, 
37500,Endoscopy ligate perf veins,  ,                                        ,ASC,510,10/1/08,12/31/99, 
37607,Ligation of a-v fistula,  ,                                        ,ASC,510,10/1/08,12/31/99, 
37609,Temporal artery procedure,  ,                                        ,ASC,446,10/1/08,12/31/99, 
37650,Revision of major vein,  ,                                        ,ASC,446,10/1/08,12/31/99, 
37700,Revise leg vein,  ,                                        ,ASC,446,10/1/08,12/31/99, 
37718,Ligate/strip short leg vein,  ,                                        ,ASC,510,10/1/08,12/31/99, 
37722,Ligate/strip long leg vein,  ,                                        ,ASC,510,10/1/08,12/31/99, 
37735,Removal of leg veins/lesion,  ,                                        ,ASC,510,10/1/08,12/31/99, 
37760,Ligate leg veins radical,  ,                                        ,ASC,510,10/1/08,12/31/99, 
37780,Revision of leg vein,  ,                                        ,ASC,510,10/1/08,12/31/99, 
37785,Ligate/divide/excise vein,  ,                                        ,ASC,510,10/1/08,12/31/99, 
37790,Penile venous occlusion,  ,                                        ,ASC,510,10/1/08,12/31/99, 
38300,Drainage lymph node lesion,  ,                                        ,ASC,333,10/1/08,12/31/99, 
38305,Drainage lymph node lesion,  ,                                        ,ASC,446,10/1/08,12/31/99, 
38308,Incision of lymph channels,  ,                                        ,ASC,446,10/1/08,12/31/99, 
38500,Biopsy/removal lymph nodes,  ,                                        ,ASC,446,10/1/08,12/31/99, 
38505,Needle biopsy lymph nodes,  ,                                        ,ASC,240,10/1/08,12/31/99, 
38510,Biopsy/removal lymph nodes,  ,                                        ,ASC,446,10/1/08,12/31/99, 
38520,Biopsy/removal lymph nodes,  ,                                        ,ASC,446,10/1/08,12/31/99, 
38525,Biopsy/removal lymph nodes,  ,                                        ,ASC,446,10/1/08,12/31/99, 
38530,Biopsy/removal lymph nodes,  ,                                        ,ASC,446,10/1/08,12/31/99, 
38531,Open bx/exc inguinofem nodes,  ,                                        ,ASC,446,1/1/19,12/31/99, 
38542,Explore deep node(s) neck,  ,                                        ,ASC,446,10/1/08,12/31/99, 
38550,Removal neck/armpit lesion,  ,                                        ,ASC,510,10/1/08,12/31/99, 
38555,Removal neck/armpit lesion,  ,                                        ,ASC,630,10/1/08,12/31/99, 
38570,Laparoscopy lymph node biop,  ,                                        ,ASC,1339,10/1/08,12/31/99, 
38571,Laparoscopy lymphadenectomy,  ,                                        ,ASC,1339,10/1/08,12/31/99, 
38572,Laparoscopy lymphadenectomy,  ,                                        ,ASC,1339,10/1/08,12/31/99, 
38740,Remove armpit lymph nodes,  ,                                        ,ASC,446,10/1/08,12/31/99, 
38745,Remove armpit lymph nodes,  ,                                        ,ASC,630,10/1/08,12/31/99, 
38760,Remove groin lymph nodes,  ,                                        ,ASC,446,10/1/08,12/31/99, 
40500,Partial excision of lip,  ,                                        ,ASC,446,10/1/08,12/31/99, 
40510,Partial excision of lip,  ,                                        ,ASC,446,10/1/08,12/31/99, 
40520,Partial excision of lip,  ,                                        ,ASC,446,10/1/08,12/31/99, 
40525,Reconstruct lip with flap,  ,                                        ,ASC,446,10/1/08,12/31/99, 
40527,Reconstruct lip with flap,  ,                                        ,ASC,446,10/1/08,12/31/99, 
40530,Partial removal of lip,  ,                                        ,ASC,446,10/1/08,12/31/99, 
40650,Repair lip,  ,                                        ,ASC,464.15,10/1/08,12/31/99, 
40652,Repair lip,  ,                                        ,ASC,464.15,10/1/08,12/31/99, 
40654,Repair lip,  ,                                        ,ASC,464.15,10/1/08,12/31/99, 
40700,Repair cleft lip/nasal,  ,                                        ,ASC,995,10/1/08,12/31/99, 
40701,Repair cleft lip/nasal,  ,                                        ,ASC,995,10/1/08,12/31/99, 
40720,Repair cleft lip/nasal,  ,                                        ,ASC,995,10/1/08,12/31/99, 
40761,Repair cleft lip/nasal,  ,                                        ,ASC,510,10/1/08,12/31/99, 
40801,Drainage of mouth lesion,  ,                                        ,ASC,446,10/1/08,12/31/99, 
40814,Excise/repair mouth lesion,  ,                                        ,ASC,446,10/1/08,12/31/99, 
40816,Excision of mouth lesion,  ,                                        ,ASC,446,10/1/08,12/31/99, 
40818,Excise oral mucosa for graft,  ,                                        ,ASC,150.72,10/1/08,12/31/99, 
40819,Excise lip or cheek fold,  ,                                        ,ASC,333,10/1/08,12/31/99, 
40831,Repair mouth laceration,  ,                                        ,ASC,333,10/1/08,12/31/99, 
40840,Reconstruction of mouth,  ,                                        ,ASC,446,10/1/08,12/31/99, 
40842,Reconstruction of mouth,  ,                                        ,ASC,510,10/1/08,12/31/99, 
40843,Reconstruction of mouth,  ,                                        ,ASC,510,10/1/08,12/31/99, 
40844,Reconstruction of mouth,  ,                                        ,ASC,717,10/1/08,12/31/99, 
40845,Reconstruction of mouth,  ,                                        ,ASC,717,10/1/08,12/31/99, 
41005,Drainage of mouth lesion,  ,                                        ,ASC,150.72,10/1/08,12/31/99, 
41006,Drainage of mouth lesion,  ,                                        ,ASC,333,10/1/08,12/31/99, 
41007,Drainage of mouth lesion,  ,                                        ,ASC,333,10/1/08,12/31/99, 
41008,Drainage of mouth lesion,  ,                                        ,ASC,333,10/1/08,12/31/99, 
41009,Drainage of mouth lesion,  ,                                        ,ASC,150.72,10/1/08,12/31/99, 
41010,Incision of tongue fold,  ,                                        ,ASC,333,10/1/08,12/31/99, 
41015,Drainage of mouth lesion,  ,                                        ,ASC,150.72,10/1/08,12/31/99, 
41016,Drainage of mouth lesion,  ,                                        ,ASC,333,10/1/08,12/31/99, 
41017,Drainage of mouth lesion,  ,                                        ,ASC,333,10/1/08,12/31/99, 
41018,Drainage of mouth lesion,  ,                                        ,ASC,333,10/1/08,12/31/99, 
41112,Excision of tongue lesion,  ,                                        ,ASC,446,10/1/08,12/31/99, 
41113,Excision of tongue lesion,  ,                                        ,ASC,446,10/1/08,12/31/99, 
41114,Excision of tongue lesion,  ,                                        ,ASC,446,10/1/08,12/31/99, 
41116,Excision of mouth lesion,  ,                                        ,ASC,333,10/1/08,12/31/99, 
41120,Partial removal of tongue,  ,                                        ,ASC,717,10/1/08,12/31/99, 
41250,Repair tongue laceration,  ,                                        ,ASC,150.72,10/1/08,12/31/99, 
41251,Repair tongue laceration,  ,                                        ,ASC,150.72,10/1/08,12/31/99, 
41252,Repair tongue laceration,  ,                                        ,ASC,446,10/1/08,12/31/99, 
41500,Fixation of tongue,  ,                                        ,ASC,333,10/1/08,12/31/18, 
41510,Tongue to lip surgery,  ,                                        ,ASC,333,10/1/08,12/31/99, 
41520,Reconstruction tongue fold,  ,                                        ,ASC,446,10/1/08,12/31/99, 
41800,Drainage of gum lesion,  ,                                        ,ASC,88.46,10/1/08,12/31/99, 
41827,Excision of gum lesion,  ,                                        ,ASC,446,10/1/08,12/31/99, 
41899,Dental surgery procedure,  ,                                        ,ASC,194.73,7/1/17,12/31/99, 
42000,Drainage mouth roof lesion,  ,                                        ,ASC,150.72,10/1/08,12/31/99, 
42107,Excision lesion mouth roof,  ,                                        ,ASC,446,10/1/08,12/31/99, 
42120,Remove palate/lesion,  ,                                        ,ASC,630,10/1/08,12/31/99, 
42140,Excision of uvula,  ,                                        ,ASC,446,10/1/08,12/31/99, 
42145,Repair palate pharynx/uvula,  ,                                        ,ASC,717,10/1/08,12/31/99, 
42180,Repair palate,  ,                                        ,ASC,150.72,10/1/08,12/31/99, 
